ARCHETYPOMETRICS CLUSTER ANALYSIS — FULL ROSTER
====================================================================================================
2000 fictional characters clustered by 6-dimensional weight vectors (k=7)
PCA: PC1+PC2 explain 84.5% of weight-space variance

====================================================================================================
CLUSTER 0: RIGHT WALKERS — 162 characters (8.1%)
Center: [+--++-] +0.717 -0.455 -0.238 +0.762 +0.591 -0.141
DX: mean=+2.8m, |DX| mean=5.1m, std=5.6m
Dead (<1m): 19 (12%), Champions (>20m): 0 (0%)
Top stories: The Wire(5), Dexter(4), The Social Network(4), Ozark(4), Futurama(4), Westworld(4), Archer(4), White Collar(3)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
19    John Bates                               Downton Abbey                      -33.17
20    Suzuha Amane                             Steins;Gate                        -33.07
21    Taya Kyle                                American Sniper                    -32.85
22    Choi Yeon-gyo                            Parasite                           -32.78
23    Jemma Simmons                            Agents of S.H.I.E.L.D.             -32.77
24    Stanley Hudson                           The Office                         -32.77
25    Finn Hudson                              Glee                               -32.53
26    Kakashi Hatake                           Naruto                             -32.20
27    Cece Parekh                              New Girl                           -32.14
28    Jean Milburn                             Sex Education                      -32.08
29    Josh Lyman                               The West Wing                      -31.99
30    Samuel 'Longshot' Anders                 Battlestar Galactica               -31.84
31    Chief Bromden                            One Flew Over the Cuckoo's Ne      -31.78
32    Snow White                               Snow White and the Seven Dwar      -31.77
33    Pete Martell                             Twin Peaks                         -31.59
34    Henry Mills                              Once Upon a Time                   -31.52
35    Colonel Brandon                          Sense and Sensibility              -31.49
36    Agt. Wendell Pleakley                    Lilo & Stitch                      -31.48
37    Kevin Ryan                               Castle                             -31.39
38    Jessa Johansson                          Girls                              -31.35
39    John Murphy                              The 100                            -31.29
40    Hannah Kahnwald                          Dark                               -31.23
41    Jenny Humphrey                           Gossip Girl                        -31.21
42    Mel Medarda                              Arcane                             -31.20
43    Buddy Pine                               The Incredibles                    -31.15
44    Rey                                      Star Wars: The Last Jedi           -31.10
45    Claire Randall                           Outlander                          -31.07
46    Jenna Middleton                          Degrassi: The Next Generation      -30.99
47    Claire Littleton                         LOST                               -30.97
48    Jesse Pinkman                            Breaking Bad                       -30.82
49    Beth Harmon                              The Queen's Gambit                 -30.74
50    Michael                                  The Good Place                     -30.67
51    George Michael Bluth                     Arrested Development               -30.66
52    Angela Montenegro                        Bones                              -30.59
53    Elsie Hughes                             Westworld                          -30.53
54    Mary Cooper                              The Big Bang Theory                -30.50
55    The Scarecrow                            The Wizard of Oz                   -30.37
56    Miss Patty                               Gilmore Girls                      -30.32
57    Mia Toretto                              Fast & Furious                     -30.17
58    Dr. Sean Maguire                         Good Will Hunting                  -30.05
59    Raj Koothrappali                         The Big Bang Theory                -29.94
60    Quentin Lance                            Arrow                              -29.79
61    Charlie Kelmeckis                        The Perks of Being a Wallflow      -29.69
62    Andy Dufresne                            The Shawshank Redemption           -29.69
63    Atticus Finch                            To Kill a Mockingbird              -29.67
64    Juliana Crain                            The Man in the High Castle         -29.58
65    Shikamaru Nara                           Naruto                             -29.55
66    Jamie Fraser                             Outlander                          -29.51
67    Edward Ferrars                           Sense and Sensibility              -29.43
68    Lane Kim                                 Gilmore Girls                      -29.40
69    Dorota Kishlovsky                        Gossip Girl                        -29.19
70    Jack Pearson                             This Is Us                         -29.18
71    Summer Smith                             Rick and Morty                     -29.07
72    Cornelius Fudge                          Harry Potter                       -29.02
73    Anna                                     Frozen                             -28.95
74    Janet Fraiser                            Stargate SG-1                      -28.72
75    Marianne                                 Portrait of a Lady on Fire         -28.65
76    Roy Petty                                Ozark                              -28.59
77    Marlin                                   Finding Nemo                       -28.57
78    Mom                                      Futurama                           -28.57
79    Beth March                               Little Women                       -28.56
80    Bella Swan                               Twilight                           -28.55
81    Dustin Henderson                         Stranger Things                    -28.52
82    Remus Lupin                              Harry Potter                       -28.51
83    Colin Khoo                               Crazy Rich Asians                  -28.43
84    Fern                                     Nomadland                          -28.40
85    Minerva McGonagall                       Harry Potter                       -28.39
86    Jimmy McGill                             Better Call Saul                   -28.31
87    Randall Pearson                          This Is Us                         -28.15
88    Doc                                      Baby Driver                        -28.07
89    Sophie                                   This Is Us                         -28.03
90    Samwise Gamgee                           Lord of the Rings                  -27.95
91    Dr. Marcus Andrews                       The Good Doctor                    -27.82
92    Dr. Audrey Lim                           The Good Doctor                    -27.81
93    Nick Miller                              New Girl                           -27.81
94    Rafael Solano                            Jane the Virgin                    -27.80
95    Ryan Howard                              The Office                         -27.80
96    Dan Humphrey                             Gossip Girl                        -27.70
97    Odafin Tutuola                           Law & Order: SVU                   -27.60
98    Eddard Stark                             Game of Thrones                    -27.57
99    Erin Hannon                              The Office                         -27.43
100   Kevin Pearson                            This Is Us                         -27.38
101   Will Schuester                           Glee                               -27.35
102   Samwell Tarly                            Game of Thrones                    -27.32
103   Nick Carraway                            The Great Gatsby                   -27.30
104   Robert Langdon                           The Da Vinci Code                  -27.26
105   Annie Edison                             Community                          -27.18
106   George S. Hammond                        Stargate SG-1                      -27.05
107   Granny Lucas                             Once Upon a Time                   -26.96
108   Spike Spiegel                            Cowboy Bebop                       -26.96
109   Pop Tate                                 Riverdale                          -26.93
110   Meredith Palmer                          The Office                         -26.83
111   Lana Lang                                Smallville                         -26.81
112   Ygritte                                  Game of Thrones                     26.74
113   Steve Hadley                             The Cabin in the Woods             -26.64
114   Leela                                    Futurama                           -26.53
115   Roy Kent                                 Ted Lasso                          -26.49
116   Gloria Delgado-Pritchett                 Modern Family                      -26.38
117   Butters                                  South Park                         -26.32
118   Héctor                                   Coco                               -26.28
119   Emilio Barzini                           The Godfather                      -26.17
120   Wallace Boden                            Chicago Fire                       -26.16
121   Kevin Keller                             Riverdale                          -26.16
122   Curt Vaughan                             The Cabin in the Woods             -26.14
123   Jay Pritchett                            Modern Family                      -25.95
124   Carlisle Cullen                          Twilight                           -25.92
125   Allison Hamilton                         The Notebook                       -25.90
126   Lumiere                                  Beauty and the Beast               -25.84
127   Jerry Gergich                            Parks and Recreation               -25.84
128   Will Turner                              Pirates of the Caribbean           -25.73
129   Garner Ellerbee                          Baywatch                           -25.69
130   Beadie Russell                           The Wire                           -25.61
131   Logan Delos                              Westworld                          -25.52
132   Rom                                      Star Trek: Deep Space Nine         -25.51
133   Shaun                                    Shaun of the Dead                  -25.42
134   Mulan                                    Mulan                              -25.40
135   Westley                                  The Princess Bride                 -25.38
136   Brooks Hatlen                            The Shawshank Redemption           -25.32
137   Fleabag                                  Fleabag                            -25.25
138   Kasidy Yates                             Star Trek: Deep Space Nine         -25.22
139   Alina Starkov                            Shadow and Bone                    -25.16
140   Terry Jeffords                           Brooklyn Nine-Nine                 -25.15
141   Lily Aldrin                              How I Met Your Mother              -25.13
142   Rosalind Walker                          Chilling Adventures of Sabrin      -25.07
143   Henry Reagan                             Blue Bloods                        -25.03
144   Harvey Dent                              The Dark Knight                    -24.97
145   Clarissa Dalloway                        Mrs Dalloway                       -24.81
146   Luke Skywalker                           Star Wars: A New Hope               24.55
147   Lady Sybil Crawley                       Downton Abbey                      -24.55
148   Sebastian Wilder                         La La Land                         -24.51
149   Liz                                      Shaun of the Dead                  -24.34
150   Mike Wheeler                             Stranger Things                    -24.32
151   Abbey Bartlet                            The West Wing                      -24.26
152   Grace Florrick                           The Good Wife                      -24.23
153   Emma Swan                                Once Upon a Time                   -24.15
154   Misty                                    Yellowjackets                      -24.13
155   Bonnie Bennett                           The Vampire Diaries                -23.98
156   George O'Malley                          Grey's Anatomy                     -23.80
157   Lewis Nixon                              Band of Brothers                   -23.61
158   Pope                                     Outer Banks                        -23.58
159   Amy Sosa                                 Superstore                         -23.57
160   Harry Crane                              Mad Men                            -23.52
161   David Phillips                           CSI: Crime Scene Investigatio      -23.49
162   Emily Fields                             Pretty Little Liars                -23.40
163   Arthur                                   Inception                          -23.30
164   Maurice                                  Beauty and the Beast               -23.25
165   Tycho Brahe                              Penny Arcade                       -23.22
166   Clementine Pennyfeather                  Westworld                          -23.15
167   SpongeBob SquarePants                    SpongeBob SquarePants              -23.13
168   Lisa Simpson                             The Simpsons                       -23.12
169   Olivia Benson                            Law & Order: SVU                   -23.11
170   Mamá Coco                                Coco                               -22.94
171   Iroh                                     Avatar: The Last Airbender         -22.93
172   Temperance Brennan                       Bones                              -22.90
173   Nani Pelekai                             Lilo & Stitch                      -22.88
174   Hoban Washburne                          Firefly + Serenity                 -22.70
175   Dr. Marcus Brody                         Raiders of the Lost Ark            -22.66
176   Max Mayfield                             Stranger Things                    -22.62
177   Martha Rodgers                           Castle                             -22.55
178   Marge Simpson                            The Simpsons                       -22.52
179   James Gordon                             The Dark Knight                    -22.47
180   Owen Grady                               Jurassic World                     -22.47
181   Principal Skinner                        The Simpsons                       -22.45
182   Cahir                                    The Witcher                        -22.36
183   Hermione Granger                         Harry Potter                       -22.20
184   Wesley Crusher                           Star Trek: The Next Generatio      -22.17
185   Gabriel                                  Emily in Paris                     -22.16
186   Nino Quincampoix                         Amélie                             -22.12
187   Elsie Carson                             Downton Abbey                      -22.04
188   Joe Bradley                              Roman Holiday                      -21.91
189   Remy                                     Ratatouille                        -21.90
190   Chuny Marquez                            ER                                 -21.77
191   Charlie Young                            The West Wing                      -21.77
192   Jean Valjean                             Les Misérables                     -21.64
193   Henry Jennings                           The Americans                      -21.62
194   Princess Elizaveta Tverskaya             Anna Karenina                      -21.44
195   Artie Abrams                             Glee                               -21.31
196   Michael Dawson                           LOST                               -21.11
197   Richard Gilmore                          Gilmore Girls                      -21.09
198   Janet                                    The Good Place                     -21.06
199   Felix Gaeta                              Battlestar Galactica               -20.98
200   Julia                                    Cowboy Bebop                       -20.97
201   Kozo Fuyutsuki                           Neon Genesis Evangelion            -20.96
202   Lucy Moran                               Twin Peaks                         -20.95
203   Elizabeth Keen                           The Blacklist                      -20.92
204   William Mason                            Downton Abbey                      -20.90
205   Tissaia                                  The Witcher                        -20.87
206   Mufasa                                   The Lion King                      -20.84
207   Tris Prior                               Divergent                          -20.73
208   El Profesor                              Money Heist                        -20.72
209   Abed Nadir                               Community                          -20.70
210   Ellen Ripley                             Alien                              -20.70
211   Ling                                     Mulan                              -20.69
212   Ken Cosgrove                             Mad Men                            -20.52
213   Daisy Buchanan                           The Great Gatsby                   -20.49
214   Dr. Bedelia Du Maurier                   Hannibal                           -20.38
215   Jonah Simms                              Superstore                         -20.31
216   Toby Ziegler                             The West Wing                      -20.07
217   Cameron Tucker                           Modern Family                      -20.04
218   Alice Cullen                             Twilight                           -19.98
219   Betty Cooper                             Riverdale                          -19.92
220   Drew Torres                              Degrassi: The Next Generation      -19.84
221   David Nolan                              Once Upon a Time                   -19.82
222   Meredith Grey                            Grey's Anatomy                     -19.81
223   Jacob Black                              Twilight                           -19.77
224   Helsinki                                 Money Heist                        -19.75
225   Steve Winchell                           The OA                             -19.72
226   Chani                                    Dune                               -19.69
227   Rue Bennett                              Euphoria                           -19.66
228   Tami Taylor                              Friday Night Lights                -19.65
229   Peggy Carter                             Marvel Cinematic Universe          -19.63
230   Fringilla                                The Witcher                        -19.59
231   Chidi Anagonye                           The Good Place                     -19.25
232   Raquel Murillo                           Money Heist                        -19.20
233   Jacqueline White                         Unbreakable Kimmy Schmidt          -19.12
234   Caleb Prior                              Divergent                          -19.08
235   Sally Albright                           When Harry Met Sally...            -18.90
236   Elizabeth Bennet                         Pride and Prejudice                -18.86
237   Francis Mulcahy                          M*A*S*H                            -18.79
238   Filip 'Chibs' Telford                    Sons of Anarchy                    -18.73
239   Robert Crawley                           Downton Abbey                      -18.62
240   Lady Edith Crawley                       Downton Abbey                      -18.55
241   Rebecca Pearson                          This Is Us                         -18.54
242   Rogelio De La Vega                       Jane the Virgin                    -18.52
243   Dory                                     Finding Nemo                       -18.37
244   Kimball Cho                              The Mentalist                      -18.37
245   Horatio                                  Hamlet                             -18.35
246   Jesper Fahey                             Shadow and Bone                    -18.31
247   Benvolio                                 Romeo and Juliet                   -18.30
248   Kim Ki-woo                               Parasite                           -18.03
249   Barney Gumble                            The Simpsons                       -17.95
250   Ellis Boyd 'Red' Redding                 The Shawshank Redemption           -17.95
251   Grace Van Pelt                           The Mentalist                      -17.85
252   Jian-Yang                                Silicon Valley                     -17.84
253   Mike Delfino                             Desperate Housewives               -17.78
254   Stringer Bell                            The Wire                           -17.78
255   Jyn Erso                                 Rogue One                          -17.72
256   Tom Paris                                Star Trek: Voyager                 -17.46
257   Dr. John Watson                          Sherlock                           -17.42
258   Katara                                   Avatar: The Last Airbender         -17.34
259   Mary Alice Young                         Desperate Housewives               -17.19
260   Zapp Brannigan                           Futurama                           -17.19
261   Timothy McGee                            NCIS                               -17.13
262   Ducky                                    The Land Before Time               -16.98
263   Petrie                                   The Land Before Time               -16.95
264   Felicity Smoak                           Arrow                              -16.91
265   Piper Chapman                            Orange is the New Black            -16.84
266   Shawn Spencer                            Psych                              -16.82
267   Josie Packard                            Twin Peaks                         -16.80
268   Stu                                      The Hangover                       -16.79
269   Bob Pinciotti                            That 70's Show                     -16.75
270   Alex Danvers                             Supergirl                          -16.65
271   Monica Hall                              Silicon Valley                     -16.60
272   Wyatt Langmore                           Ozark                              -16.60
273   Benjamin Sisko                           Star Trek: Deep Space Nine         -16.34
274   Miguel Rivas                             This Is Us                         -16.33
275   Jim                                      Adventures of Huckleberry Fin      -16.17
276   Olaf                                     Frozen                             -16.08
277   Jim Halpert                              The Office                         -15.98
278   Juliet O'Hara                            Psych                              -15.93
279   Peggy Olson                              Mad Men                            -15.92
280   Pierce Hawthorne                         Community                          -15.89
281   Kathryn Janeway                          Star Trek: Voyager                 -15.79
282   Kerry Weaver                             ER                                  15.62
283   Jin-Soo Kwon                             LOST                               -15.57
284   Kif Kroker                               Futurama                           -15.54
285   Marie Schrader                           Breaking Bad                       -15.42
286   Katharina Nielsen                        Dark                               -15.33
287   Amy March                                Little Women                       -15.00
288   Grandpa Joe                              Willy Wonka & the Chocolate F      -14.87
289   Julie Taylor                             Friday Night Lights                -14.83
290   Byron Hadley                             The Shawshank Redemption           -14.63
291   Jared Dunn                               Silicon Valley                     -14.49
292   Ted Lasso                                Ted Lasso                          -14.42
293   Mrs. Hudson                              Sherlock                            14.33
294   Sailor Mercury                           Sailor Moon                        -14.32
295   Bree Van de Kamp                         Desperate Housewives               -14.04
