ARCHETYPOMETRICS CLUSTER ANALYSIS — FULL ROSTER
====================================================================================================
2000 fictional characters clustered by 6-dimensional weight vectors (k=7)
PCA: PC1+PC2 explain 84.5% of weight-space variance

====================================================================================================
CLUSTER 0: RIGHT WALKERS — 162 characters (8.1%)
Center: [+--++-] +0.717 -0.455 -0.238 +0.762 +0.591 -0.141
DX: mean=+2.8m, |DX| mean=5.1m, std=5.6m
Dead (<1m): 19 (12%), Champions (>20m): 0 (0%)
Top stories: The Wire(5), Dexter(4), The Social Network(4), Ozark(4), Futurama(4), Westworld(4), Archer(4), White Collar(3)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
12    Maid Marian                              Robin Hood                           9.01
13    Benjamin Button                          The Curious Case of Benjamin        -8.98
14    Cosmo Brown                              Singin' in the Rain                 -8.80
15    Nala                                     The Lion King                       -8.78
16    Ed                                       Shaun of the Dead                    8.63
17    Ragnar Lothbrok                          Vikings                              8.60
18    Donald G. Malarkey                       Band of Brothers                     8.47
19    Monty Green                              The 100                             -8.28
20    Cobra Bubbles                            Lilo & Stitch                        8.25
21    Esme Cullen                              Twilight                             8.23
22    Heather Davis                            Crazy Ex-Girlfriend                  8.08
23    Misato Katsuragi                         Neon Genesis Evangelion             -8.04
24    Margaret Houlihan                        M*A*S*H                             -7.82
25    Petra Arkanian                           Ender's Game                        -7.58
26    Rory Gilmore                             Gilmore Girls                        7.56
27    Hwang Jun-ho                             Squid Game                           7.56
28    Terry Benedict                           Ocean's 11                          -7.48
29    Harald Finehair                          Vikings                             -7.27
30    Dr. Aaron Glassman                       The Good Doctor                      7.26
31    Asha Greyjoy                             Game of Thrones                      7.24
32    Tyler Locke                              Locke & Key                          7.23
33    Sam Carmichael                           Mamma Mia!                           7.17
34    Murtagh Fraser                           Outlander                            6.75
35    Cora Munro                               The Last of the Mohicans             6.39
36    Alexis Rose                              Schitt's Creek                       6.39
37    Captain Angela Ali                       Space Force                          6.37
38    Allison Hargreeves                       The Umbrella Academy                -6.34
39    Tallahassee                              Zombieland                          -6.28
40    Preston Burke                            Grey's Anatomy                       6.18
41    Cyrus Beene                              Scandal                              6.10
42    Lito Rodriguez                           Sense8                               6.03
43    Butch Coolidge                           Pulp Fiction                         6.01
44    Lee 'Apollo' Adama                       Battlestar Galactica                 5.99
45    Brock                                    Pokémon                              5.95
46    Elisa Esposito                           The Shape of Water                  -5.95
47    Paige Jennings                           The Americans                        5.95
48    Eliza Hamilton                           Hamilton                            -5.94
49    Flaca Gonzales                           Orange is the New Black              5.92
50    Bean                                     Ender's Game                         5.89
51    George Washington                        Hamilton                             5.80
52    Rubeus Hagrid                            Harry Potter                         5.78
53    Caroline Forbes                          The Vampire Diaries                  5.77
54    Obi-Wan Kenobi                           Star Wars: Revenge of the Sit        5.77
55    Dagny Taggart                            Atlas Shrugged                       5.74
56    Lillian Kaushtupper                      Unbreakable Kimmy Schmidt           -5.73
57    General Mark R. Naird                    Space Force                          5.71
58    Evelyn Harper                            Two and a Half Men                   5.70
59    Hilda Spellman                           Chilling Adventures of Sabrin       -5.55
60    Rogue                                    X-Men                               -5.52
61    Nathaniel 'Hawkeye' Poe                  The Last of the Mohicans             5.44
62    Buzz Lightyear                           Toy Story                            5.44
63    Daisy 'Skye' Johnson                     Agents of S.H.I.E.L.D.               5.42
64    Elizabeth                                Hustlers                             5.40
65    Jaime Lannister                          Game of Thrones                      5.32
66    Harry Bright                             Mamma Mia!                           5.31
67    Emily Cooper                             Emily in Paris                       5.28
68    Jack Traven                              Speed                               -5.28
69    Jeremy Chetri                            Wynonna Earp                         5.27
70    Seeley Booth                             Bones                                5.27
71    Mrs. Bennet                              Pride and Prejudice                  5.21
72    Jon Snow                                 Game of Thrones                      5.17
73    King George III                          Hamilton                             5.11
74    Amanita Caplan                           Sense8                               5.10
75    Amy Brookheimer                          Veep                                 5.05
76    Vanya Hargreeves                         The Umbrella Academy                 5.03
77    Agatha                                   Chilling Adventures of Sabrin       -5.02
78    Elizabeth Swann                          Pirates of the Caribbean            -4.97
79    Cally Henderson                          Battlestar Galactica                -4.96
80    Erica Sinclair                           Stranger Things                     -4.94
81    Brad Bellick                             Prison Break                         4.88
82    Joey Tribbiani                           Friends                              4.85
83    Kiara                                    Outer Banks                         -4.85
84    Shoshanna Shapiro                        Girls                                4.83
85    Harry Burns                              When Harry Met Sally...              4.83
86    Dinesh Chugtai                           Silicon Valley                       4.81
87    Caitlin Snow                             The Flash                            4.80
88    Storm                                    X-Men                                4.79
89    Paula Proctor                            Crazy Ex-Girlfriend                  4.77
90    Daryl Dixon                              The Walking Dead                    -4.77
91    Emily Gilmore                            Gilmore Girls                        4.77
92    Tasha Yar                                Star Trek: The Next Generatio        4.72
93    Rufus Humphrey                           Gossip Girl                          4.63
94    Sky Ramand                               Mamma Mia!                           4.63
95    Gale Hawthorne                           The Hunger Games                     4.59
96    Chris Traeger                            Parks and Recreation                -4.56
97    Princess Fiona                           Shrek                                4.55
98    Joe West                                 The Flash                            4.54
99    Will Byers                               Stranger Things                      4.51
100   Randall McHolland                        Chicago Fire                         4.49
101   Billy Hargrove                           Stranger Things                      4.46
102   Billy Bibbit                             One Flew Over the Cuckoo's Ne        4.45
103   Michael Kelso                            That 70's Show                       4.42
104   Taylor Doose                             Gilmore Girls                       -4.38
105   Crazy Eyes                               Orange is the New Black              4.37
106   Little John                              Robin Hood                           4.34
107   Connor Deslauriers                       Degrassi: The Next Generation        4.31
108   Kang Sae-byeok                           Squid Game                           4.29
109   Simba                                    The Lion King                        4.29
110   Christian Grey                           Fifty Shades of Grey                 4.24
111   Roy Mustang                              Fullmetal Alchemist: Brotherh        4.18
112   Paul Atreides                            Dune                                 4.17
113   Stefan Salvatore                         The Vampire Diaries                  4.16
114   Mike Lowrey                              Bad Boys                            -4.15
115   William Riker                            Star Trek: The Next Generatio        4.12
116   Bellamy Blake                            The 100                              4.12
117   Perrin Aybara                            Wheel of Time                       -4.09
118   Tim Riggins                              Friday Night Lights                  4.08
119   Kaylee Frye                              Firefly + Serenity                   4.07
120   Eric Murphy                              Entourage                            4.06
121   Marcus Miles                             Bad Boys                             4.03
122   Helen Parr                               The Incredibles                     -4.02
123   Huck                                     Scandal                              3.99
124   Black Panther                            Marvel Cinematic Universe           -3.93
125   Teal'c                                   Stargate SG-1                        3.93
126   Mr. Krabs                                SpongeBob SquarePants                3.90
127   Addison Montgomery                       Grey's Anatomy                       3.88
128   Violet Crawley                           Downton Abbey                        3.87
129   Mia Wallace                              Pulp Fiction                         3.86
130   Blondie                                  The Good, the Bad, and the Ug        3.82
131   John Carter                              ER                                  -3.82
132   Kira Nerys                               Star Trek: Deep Space Nine           3.80
133   Legolas                                  Lord of the Rings                    3.77
134   Jules Winnfield                          Pulp Fiction                        -3.76
135   C.J. Parker                              Baywatch                             3.75
136   Valentine Wiggin                         Ender's Game                         3.74
137   Pippin Took                              Lord of the Rings                    3.68
138   Charlotte Byrde                          Ozark                                3.65
139   Ryan Evans                               High School Musical                  3.63
140   Ty Lee                                   Avatar: The Last Airbender           3.60
141   Tuxedo Mask                              Sailor Moon                          3.56
142   Miranda Hobbes                           Sex and the City                     3.55
143   Mike Wazowski                            Monsters, Inc.                      -3.54
144   Jennifer Parker                          Back to the Future                   3.53
145   Manny Delgado                            Modern Family                        3.50
146   Charlie Strong                           Peaky Blinders                       3.50
147   Misa Amane                               Death Note                           3.49
148   Vander                                   Arcane                               3.49
149   Rick Grimes                              The Walking Dead                    -3.47
150   Sherlock Holmes                          Elementary                           3.46
151   Mark Brendanawicz                        Parks and Recreation                 3.42
152   Ubbe Ragnarsson                          Vikings                              3.37
153   Tyra Collette                            Friday Night Lights                 -3.36
154   Kim Ki-jung                              Parasite                            -3.36
155   Fitzgerald Grant                         Scandal                              3.34
156   Diana Barrigan                           White Collar                         3.34
157   Sherlock Holmes                          Sherlock                             3.29
158   Torvi                                    Vikings                              3.29
159   Egwene al'Vere                           Wheel of Time                        3.28
160   Obi-Wan Kenobi                           Star Wars: A New Hope               -3.27
161   Serena van der Woodsen                   Gossip Girl                         -3.27
162   Lon Hammond, Jr.                         The Notebook                         3.26
163   Logan Huntzberger                        Gilmore Girls                        3.26
164   Cameron James                            10 Things I Hate About You           3.22
165   Jasmine                                  Aladdin                              3.16
166   Annalise Keating                         How To Get Away With Murder          3.16
167   Frenchie                                 The Boys                             3.16
168   Sasha Braus                              Attack on Titan                      3.13
169   Lily van der Woodsen                     Gossip Girl                          3.12
170   Donna Moss                               The West Wing                        3.11
171   L.J. Burrows                             Prison Break                         3.11
172   Nomi Marks                               Sense8                              -3.11
173   Jake Harper                              Two and a Half Men                   3.10
174   Augustus 'Gus' Waters                    The Fault in Our Stars              -3.06
175   Holly Gennero-McClane                    Die Hard                             3.04
176   Fiona Gallagher                          Shameless                           -3.04
177   Jonathan 'Gabe' Gabriel                  Penny Arcade                         3.04
178   Troy Barnes                              Community                            3.01
179   Gabriella Montez                         High School Musical                  3.00
180   Waverly Earp                             Wynonna Earp                         2.96
181   Kim Wexler                               Better Call Saul                     2.95
182   Astrid Leong-Teo                         Crazy Rich Asians                    2.94
183   Fangs Fogarty                            Riverdale                            2.93
184   Kristoff                                 Frozen                               2.93
185   Dara                                     The Witcher                         -2.92
186   Annie January                            The Boys                             2.91
187   Hange Zoe                                Attack on Titan                      2.90
188   Genos                                    One Punch Man                        2.85
189   Daniel LaRusso                           Cobra Kai                            2.85
190   Egon Spengler                            Ghostbusters                        -2.80
191   Judith of Northumbria                    Vikings                             -2.79
192   Zuko                                     Avatar: The Last Airbender           2.76
193   Ekko                                     Arcane                               2.75
194   Kala Dandekar                            Sense8                               2.75
195   Tom Shayes                               Damages                              2.75
196   Colossus                                 X-Men                                2.74
197   Krusty the Clown                         The Simpsons                         2.73
198   Kimiko Miyashiro                         The Boys                             2.71
199   Chad Danforth                            High School Musical                  2.71
200   Arya Stark                               Game of Thrones                      2.70
201   Will Gorski                              Sense8                               2.70
202   Spiros Vondopoulos                       The Wire                             2.69
203   Miguel Diaz                              Cobra Kai                            2.69
204   Dana Polk                                The Cabin in the Woods               2.67
205   Amy Santiago                             Brooklyn Nine-Nine                   2.66
206   Christian                                Moulin Rouge!                        2.65
207   Anthony DiNozzo                          NCIS                                 2.64
208   Jo March                                 Little Women                         2.61
209   Moiraine Damodred                        Wheel of Time                       -2.61
210   Geralt of Rivia                          The Witcher                         -2.61
211   Ms. Sharon Norbury                       Mean Girls                           2.60
212   Nynaeve al'Meara                         Wheel of Time                        2.59
213   Mellie Grant                             Scandal                              2.58
214   Asher Millstone                          How To Get Away With Murder         -2.57
215   James Bond                               Tommorrow Never Dies                 2.56
216   Rachel Garrison                          Ozark                               -2.54
217   Walter Stratford                         10 Things I Hate About You           2.53
218   Cosette                                  Les Misérables                      -2.53
219   Judith Harper-Melnick                    Two and a Half Men                   2.51
220   Sam Baldwin                              Sleepless in Seattle                 2.50
221   Alphonso 'Mack' Mackenzie                Agents of S.H.I.E.L.D.               2.50
222   Iris West                                The Flash                           -2.50
223   Rupert Giles                             Buffy the Vampire Slayer            -2.48
224   Gimli                                    Lord of the Rings                    2.48
225   Clare Edwards                            Degrassi: The Next Generation        2.47
226   Sun Bak                                  Sense8                              -2.46
227   Sarah Cameron                            Outer Banks                          2.45
228   Brian Zeller                             Hannibal                             2.44
229   Brienne of Tarth                         Game of Thrones                      2.43
230   Kate Pearson                             This Is Us                          -2.42
231   Hunter Aloysius Percy                    The OA                               2.42
232   Robin Hood                               Robin Hood                          -2.41
233   Aang                                     Avatar: The Last Airbender          -2.39
234   Jane Bennet                              Pride and Prejudice                  2.38
235   Mikaela Banes                            Transformers                        -2.35
236   Chris Partlow                            The Wire                             2.34
237   Spike                                    My Little Pony: Friendship Is        2.34
238   Chris Kyle                               American Sniper                     -2.33
239   Rip Wheeler                              Yellowstone                         -2.31
240   Viktor Krum                              Harry Potter                         2.31
241   Mikasa Ackermann                         Attack on Titan                      2.31
242   Chiana                                   Farscape                             2.30
243   Denny                                    The Room                             2.30
244   Shirley Schmidt                          Boston Legal                         2.25
245   Valencia Perez                           Crazy Ex-Girlfriend                  2.25
246   Eleanor Sung-Young                       Crazy Rich Asians                    2.25
247   Count Alexei Karenin                     Anna Karenina                        2.24
248   Monica Gaztambide                        Money Heist                          2.24
249   Amy Antsler                              Booksmart                           -2.24
250   Angel                                    Buffy the Vampire Slayer             2.23
251   Divya Narendra                           The Social Network                   2.23
252   Dominar Rygel XVI                        Farscape                            -2.22
253   Oliver Hampton                           How To Get Away With Murder         -2.20
254   Sara Tancredi                            Prison Break                         2.19
255   Michael Gray                             Peaky Blinders                       2.18
256   Rachel Berry                             Glee                                -2.17
257   Samantha LaRusso                         Cobra Kai                           -2.17
258   Duke Orsino                              Twelfth Night                       -2.17
259   The Tin Man                              The Wizard of Oz                     2.17
260   C-Note Franklin                          Prison Break                         2.16
261   Ciri                                     The Witcher                         -2.13
262   Han Solo                                 Star Wars: A New Hope                2.12
263   Damon Salvatore                          The Vampire Diaries                 -2.11
264   Amenadiel                                Lucifer                              2.10
265   James Olsen                              Supergirl                            2.10
266   Pam Beesly                               The Office                          -2.09
267   Columbus                                 Zombieland                          -2.09
268   Mammy                                    Gone With the Wind                   2.09
269   Reggie Mantle                            Riverdale                            2.08
270   Kinsey Locke                             Locke & Key                         -2.07
271   Maurizio Gucci                           House of Gucci                       2.03
272   Eren Jaeger                              Attack on Titan                      2.01
273   Jackson Belleville                       Gilmore Girls                       -2.00
274   Sloane Peterson                          Ferris Bueller's Day Off             2.00
275   Dashiell Parr                            The Incredibles                      1.97
276   Alli Bhandari                            Degrassi: The Next Generation        1.97
277   Paulie 'Walnuts' Gualtieri               The Sopranos                         1.95
278   Berlin                                   Money Heist                          1.94
279   Thomas J. Whitmore                       Independence Day                     1.92
280   Shane Walsh                              The Walking Dead                     1.92
281   Aragorn                                  Lord of the Rings                   -1.91
282   Bjorn Lothbrok                           Vikings                              1.90
283   Ka D'Argo                                Farscape                             1.87
284   Clementine Kruczynski                    Eternal Sunshine of the Spotl        1.87
285   Ruby Tiffany Sparks                      Ruby Sparks                          1.86
286   Ray Ploshansky                           Girls                                1.86
287   Oberyn Martell                           Game of Thrones                      1.84
288   Brian O'Conner                           Fast & Furious                       1.82
289   Leroy Jethro Gibbs                       NCIS                                 1.82
290   Ned Flanders                             The Simpsons                        -1.81
291   Camille Saroyan                          Bones                                1.81
292   Ashley Wilkes                            Gone With the Wind                  -1.80
293   Inej Ghafa                               Shadow and Bone                      1.80
294   Alexander Hamilton                       Hamilton                            -1.80
295   Destiny                                  Hustlers                             1.78
296   Rand al'Thor                             Wheel of Time                        1.78
297   Beryl Patmore                            Downton Abbey                        1.77
298   Willy Wonka                              Willy Wonka & the Chocolate F        1.76
299   Jasper Hale                              Twilight                             1.76
300   Jason Mendoza                            The Good Place                       1.75
301   Tony                                     West Side Story                      1.75
302   Samantha Jones                           Sex and the City                     1.75
303   Tina Cohen-Chang                         Glee                                -1.74
304   Lyla Garrity                             Friday Night Lights                  1.74
305   Red Forman                               That 70's Show                      -1.73
306   Britta Perry                             Community                           -1.72
307   B'Elanna Torres                          Star Trek: Voyager                  -1.72
308   Robin Buckley                            Stranger Things                      1.72
309   Powder                                   Arcane                               1.72
310   Bumblebee                                Transformers                         1.71
311   Kevin Ball                               Shameless                            1.70
312   Ellis Carver                             The Wire                             1.70
313   Vi                                       Arcane                               1.70
314   Richard D. Winters                       Band of Brothers                     1.69
315   Jane Margolis                            Breaking Bad                         1.68
316   Denny Crane                              Boston Legal                         1.68
317   J'onn J'onzz                             Supergirl                            1.67
318   Frank Vernon                             Succession                          -1.67
319   John Diggle                              Arrow                                1.66
320   Princess Ekaterina Shcherbatskaya        Anna Karenina                       -1.65
321   Romeo Montague                           Romeo and Juliet                     1.65
322   Jim Hopper                               Stranger Things                     -1.63
323   Marie Kreutz                             The Bourne Identity                  1.62
324   Katniss Everdeen                         The Hunger Games                     1.61
325   Capp                                     Chicago Fire                         1.59
326   Vanessa Abrams                           Gossip Girl                          1.59
327   The Doctor                               Star Trek: Voyager                  -1.58
328   Jules                                    Superbad                             1.58
329   Princess Celestia                        My Little Pony: Friendship Is       -1.57
330   Vincent Vega                             Pulp Fiction                        -1.57
331   Firelord Ozai                            Avatar: The Last Airbender           1.57
332   Belle                                    Beauty and the Beast                -1.55
333   Sandy Cheeks                             SpongeBob SquarePants                1.54
334   Imperator Furiosa                        Mad Max: Fury Road                   1.54
335   Susie Derkins                            Calvin and Hobbes                    1.53
336   Klaus Hargreeves                         The Umbrella Academy                 1.51
337   Melinda Warner                           Law & Order: SVU                    -1.49
338   Lucilla                                  Gladiator                            1.49
339   Danny Ocean                              Ocean's 11                          -1.49
340   Howard Wolowitz                          The Big Bang Theory                  1.47
341   Bronn                                    Game of Thrones                      1.47
342   Burton Guster                            Psych                                1.47
343   Barry Allen                              The Flash                            1.46
344   Mercutio                                 Romeo and Juliet                     1.45
345   Lagertha                                 Vikings                              1.43
346   JJ                                       Outer Banks                         -1.42
347   Dina Fox                                 Superstore                           1.42
348   John Abruzzi                             Prison Break                         1.41
349   Tom Haverford                            Parks and Recreation                 1.40
350   Patrick Star                             SpongeBob SquarePants               -1.40
351   Maggie Hart                              True Detective                       1.39
352   Emmet Brickowski                         The Lego Movie                      -1.38
353   Matthew Casey                            Chicago Fire                         1.36
354   Sailor Venus                             Sailor Moon                         -1.34
355   Sansa Stark                              Game of Thrones                      1.33
356   Bob Parr                                 The Incredibles                     -1.32
357   Jake Peralta                             Brooklyn Nine-Nine                  -1.32
358   Joey Donner                              10 Things I Hate About You           1.32
359   Sailor Mars                              Sailor Moon                          1.31
360   Phil Coulson                             Agents of S.H.I.E.L.D.               1.31
361   Gaston                                   Beauty and the Beast                 1.30
362   Applejack                                My Little Pony: Friendship Is        1.30
363   Pennsatucky Doggett                      Orange is the New Black              1.29
364   Michel Gerard                            Gilmore Girls                        1.28
365   Rachel Chu                               Crazy Rich Asians                    1.28
366   Mitch Buchannon                          Baywatch                             1.27
367   Edward Elric                             Fullmetal Alchemist: Brotherh       -1.21
368   Rollo Sigurdsson                         Vikings                              1.21
369   Lindsay Bluth                            Arrested Development                -1.21
370   Ziggy Sobotka                            The Wire                             1.19
371   Ash Ketchum                              Pokémon                              1.19
372   Chrisjen Avasarala                       The Expanse                          1.17
373   Alba Villanueva                          Jane the Virgin                      1.17
374   Kayce Dutton                             Yellowstone                          1.16
375   Satine                                   Moulin Rouge!                        1.15
376   Charlotte Doppler                        Dark                                 1.14
377   Caitlyn Kiramman                         Arcane                              -1.14
378   Saul Tigh                                Battlestar Galactica                 1.14
379   Elsa                                     Frozen                               1.13
380   Nux                                      Mad Max: Fury Road                  -1.11
381   Lydia Bennet                             Pride and Prejudice                 -1.10
382   Riza Hawkeye                             Fullmetal Alchemist: Brotherh       -1.10
383   Don Lockwood                             Singin' in the Rain                 -1.10
384   Carol Peletier                           The Walking Dead                     1.10
385   Jane Villanueva                          Jane the Virgin                      1.08
386   Beverly Crusher                          Star Trek: The Next Generatio       -1.08
387   Juliet Capulet                           Romeo and Juliet                    -1.08
388   Josh Chan                                Crazy Ex-Girlfriend                 -1.08
389   Mat Cauthon                              Wheel of Time                       -1.06
390   Doc                                      Snow White and the Seven Dwar       -1.06
391   Izzie Stevens                            Grey's Anatomy                      -1.05
392   Donna Pinciotti                          That 70's Show                      -1.04
393   Padme Amidala                            Star Wars: Revenge of the Sit        1.04
394   Dale Horvath                             The Walking Dead                     1.04
395   Derek Shepherd                           Grey's Anatomy                      -1.03
396   Rosie Mulligan                           Mamma Mia!                           1.01
397   Nate Archibald                           Gossip Girl                          1.00
398   Sailor Moon                              Sailor Moon                          1.00
399   Aeryn Sun                                Farscape                             0.99
400   Danny Vinyard                            American History X                  -0.99
401   Nathan Miller                            The 100                             -0.98
402   Joey Lucas                               The West Wing                        0.96
403   Goh Peik Lin                             Crazy Rich Asians                    0.95
404   Sutter Keely                             The Spectacular Now                  0.93
405   Sophie Sheridan                          Mamma Mia!                           0.92
406   Cyndee Pokorny                           Unbreakable Kimmy Schmidt           -0.89
407   Wynonna Earp                             Wynonna Earp                        -0.88
408   Cyclops                                  X-Men                                0.88
409   Wolfgang Bogdanow                        Sense8                               0.87
410   Dana Barrett                             Ghostbusters                         0.87
411   Robb Stark                               Game of Thrones                     -0.86
412   Violet Parr                              The Incredibles                      0.86
413   Haley Dunphy                             Modern Family                        0.85
414   Gemma Teller Morrow                      Sons of Anarchy                     -0.84
415   Touta Matsuda                            Death Note                           0.83
416   Frank Burns                              M*A*S*H                              0.79
417   Ali                                      Mamma Mia!                           0.78
418   Landry Clarke                            Friday Night Lights                 -0.78
419   Mike Chang                               Glee                                 0.78
420   Marmee March                             Little Women                         0.76
421   Daenerys Targaryen                       Game of Thrones                      0.74
422   Inara Serra                              Firefly + Serenity                   0.74
423   Zelda Spellman                           Chilling Adventures of Sabrin        0.73
424   Jay Gatsby                               The Great Gatsby                    -0.73
425   Count Alexei Vronsky                     Anna Karenina                       -0.73
426   Laurel Castillo                          How To Get Away With Murder          0.72
427   Randle McMurphy                          One Flew Over the Cuckoo's Ne        0.70
428   Jennifer Jareau                          Criminal Minds                       0.70
429   Alan Harper                              Two and a Half Men                   0.69
430   Patty Hewes                              Damages                             -0.68
431   Frodo Baggins                            Lord of the Rings                   -0.68
432   Jayce Talis                              Arcane                              -0.68
433   Trinity                                  The Matrix                           0.68
434   Jimmy 'B-Rabbit' Smith Jr.               8 Mile                              -0.67
435   Clark Kent                               Smallville                           0.66
436   Dorothy Gale                             The Wizard of Oz                     0.66
437   Tom Wambsgans                            Succession                           0.64
438   Diego Hargreeves                         The Umbrella Academy                 0.63
439   Mr. Potato Head                          Toy Story                           -0.63
440   Indiana Jones                            Raiders of the Lost Ark              0.63
441   Stitch                                   Lilo & Stitch                        0.62
442   Kelly Severide                           Chicago Fire                         0.61
443   Linda Martin                             Lucifer                              0.60
444   Taylor McKessie                          High School Musical                 -0.58
445   Colby                                    Yellowstone                         -0.55
446   John Connor                              Terminator 2: Judgement Day         -0.55
447   Johnny Castle                            Dirty Dancing                        0.53
448   Cho Sang-woo                             Squid Game                          -0.53
449   Henry Rearden                            Atlas Shrugged                      -0.52
450   Dembe Zuma                               The Blacklist                        0.51
451   Pepper                                   Mamma Mia!                          -0.49
452   Dominic Toretto                          Fast & Furious                      -0.48
453   Alexander 'Tig' Trager                   Sons of Anarchy                      0.47
454   Malvolio                                 Twelfth Night                       -0.47
455   Emily Charlton                           The Devil Wears Prada               -0.46
456   Thelonious Jaha                          The 100                              0.45
457   Andrea                                   The Walking Dead                    -0.45
458   Bubbles Cousins                          The Wire                             0.44
459   Steven Hiller                            Independence Day                     0.42
460   John Rayburn                             Bloodline                            0.40
461   Lloyd                                    Yellowstone                          0.39
462   Levi Ackermann                           Attack on Titan                     -0.38
463   Sarah O'Brien                            Downton Abbey                       -0.37
464   Dr. Madolyn Madden                       The Departed                         0.36
465   Bob Belcher                              Bob's Burgers                       -0.36
466   Jack O'Neill                             Stargate SG-1                        0.36
467   Molly Davidson                           Booksmart                            0.34
468   Kat Stratford                            10 Things I Hate About You           0.32
469   Lucie Manette                            A Tale of Two Cities                 0.30
470   Oh Il-nam                                Squid Game                           0.29
471   Kirk Lazarus                             Tropic Thunder                      -0.29
472   Guinan                                   Star Trek: The Next Generatio        0.29
473   Troy Bolton                              High School Musical                  0.27
474   Jean Kirschtein                          Attack on Titan                     -0.27
475   Princess Ariel                           The Little Mermaid                   0.26
476   Michael 'Newmie' Newman                  Baywatch                            -0.26
477   Mia Dolan                                La La Land                           0.24
478   Smash Williams                           Friday Night Lights                 -0.24
479   Marcia Roy                               Succession                          -0.23
480   Calvin                                   Calvin and Hobbes                    0.21
481   Batman                                   The Lego Movie                      -0.21
482   Flynn White                              Breaking Bad                         0.20
483   Jeff Portnoy                             Tropic Thunder                       0.19
484   Nicky Nichols                            Orange is the New Black             -0.17
485   Malyen Oretsev                           Shadow and Bone                      0.16
486   Stannis Baratheon                        Game of Thrones                      0.15
487   Angel Eyes                               The Good, the Bad, and the Ug       -0.14
488   Hazel Grace Lancaster                    The Fault in Our Stars               0.13
489   Joe Cruz                                 Chicago Fire                        -0.12
490   James P. Sullivan                        Monsters, Inc.                       0.10
491   Berta                                    Two and a Half Men                   0.07
492   Molly Weasley                            Harry Potter                        -0.07
493   William Adama                            Battlestar Galactica                 0.07
494   Friar Tuck                               Robin Hood                           0.06
495   Riley Blue                               Sense8                              -0.05
496   Bunk Moreland                            The Wire                            -0.04
497   Carla Espinosa                           Scrubs                               0.04
498   Tokio                                    Money Heist                         -0.03
499   Jessica Pearson                          Suits                                0.02
500   Captain Jim Brass                        CSI: Crime Scene Investigatio       -0.01

====================================================================================================
CLUSTER 4: LEFT WALKERS — 366 characters (18.3%)
Center: [+-++-+] +0.725 -0.490 +0.236 +0.802 -0.626 +0.242
DX: mean=-6.3m, |DX| mean=8.1m, std=9.8m
Dead (<1m): 51 (14%), Champions (>20m): 49 (13%)
Top stories: Harry Potter(6), The Wire(6), Battlestar Galactica(5), Sex Education(5), Ted Lasso(5), Game of Thrones(5), Mad Men(4), Star Trek: The Next Generation(4)
----------------------------------------------------------------------------------------------------
Rank  Character                                Story                              DX (m)
----------------------------------------------------------------------------------------------------
1     Saitama                                  One Punch Man                      -36.92
2     Jack Hodgins                             Bones                              -33.41
3     Bobby Briggs                             Twin Peaks                         -32.83
4     Alicia Florrick                          The Good Wife                      -31.65
5     Anna Bates                               Downton Abbey                      -31.12
6     Sarah Connor                             Terminator 2: Judgement Day        -29.43
7     Julian Bashir                            Star Trek: Deep Space Nine         -29.11
8     Amélie Poulain                           Amélie                             -28.32
9     Robin Scherbatsky                        How I Met Your Mother              -28.00
